Comment,Description,Designator,Quantity,Man. Part Number

"EEETG1J470P","Cap Aluminum 47uF 63V 20% (10 X 10.2mm) SMD 0.8 Ohm 150mA 2000 hr 125°C T/R","C1","1",""
"EEEFK1J220XP","22µF 63V Aluminum Electrolytic Capacitors Radial, Can - SMD 2000 Hrs @ 105°C","C2","1",""
"XT30-M","Plug; DC supply; XT60; male; PIN: 2; for cable; soldered; 30A; 500V","J1","1",""
"282836-3","TERM BLOCK 3POS SIDE ENTRY 5MM","J2, J3","2",""
"Remote Control","Connector Header Through Hole 3 position 0.079 (2.00mm)","J4","1",""
"Wheel Speed Sensor","Connector Header Through Hole 3 position 0.079 (2.00mm)","J5","1",""
"61300611121","Connector Header Through Hole 6 position 0.100 (2.54mm)","J6, J8","2",""
"826629-4","Conn Unshrouded Header HDR 4 POS 2.54mm Solder ST Thru-Hole Automotive Carton","J7","1",""
"D Sub-9","9 Position D-Sub Receptacle, Female Sockets Connector","J9, J10","2",""
"120","","R1","1",""
"10K","","R2","1",""
"2.5K","","R3","1",""
"66K","","R4","1",""
"EG1218","<b>SLIDING SWITCH</b><p> 0.1"" spacing through hole, vertical SPDT slide switch <p>http://www.ladyada.net/library/pcb/eaglelibrary.html</p>","S1","1",""
"PQQ10W-Q24-S5-S","10 W, 4:1 Input Range, Single Regulated Output, SIP8, 1500 Vdc Isolation, Dc-Dc Converter","U1","1",""
"NUCLEO-F439ZI","STM32F429ZI, mbed-Enabled Development Nucleo-144 STM32F4 ARM® Cortex®-M4 MCU 32-Bit Embedded Evaluation Board","U2","1",""
"SN65HVD230QDR","3.3-V CAN Transceiver with Standby Mode 8-SOIC -40 to 125","U3","1",""
